#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
31,Philippines,"3,682,623",+272,"59,956 ",+24,"3,599,468","+1,223","23,199",289,"32,828",534,"29,242,796","260,683","112,177,708 ",Asia,"301,8714",2,0.2,207
32,Canada,"3,623,785",,"38,288 ",,"3,367,618",,"217,879",407,"94,538",999,"60,149,136","1,569,188","38,331,370 ",North America,"111,0011",,,"5,684"
33,Peru,"3,554,006",,"212,565 ",,N/A,N/A,N/A,381,"105,181","6,291","29,338,086","868,259","33,789,553 ",South America,101591,,,"47,967"
34,Switzerland,"3,551,790",,"13,793 ",,"3,162,281",,"375,716",103,"405,117","1,573","20,548,491","2,343,760","8,767,319 ",Europe,26360,,,"42,854"
35,Chile,"3,522,422",,"57,167 ",,"3,266,157",,"199,098",361,"181,490","2,945","36,308,703","1,870,775","19,408,377 ",South America,63401,,,"10,258"
36,Greece,"3,216,256",,"28,406 ",,"3,039,010",,"148,840",334,"311,278","2,749","77,364,430","7,487,551","10,332,408 ",Europe,33640,,,"14,405"
37,Denmark,"2,946,592","+1,359","5,974 ",+13,"2,908,818","+2,846","31,800",22,"505,547","1,025","127,045,638","21,797,231","5,828,522 ",Europe,29760,233,2,"5,456"
38,Romania,"2,880,276","+1,255","65,310 ",+13,"2,606,660",,"208,306",253,"151,520","3,436","22,396,439","1,178,189","19,009,213 ",Europe,72911,66,0.7,"10,958"
39,Sweden,"2,495,996",,"18,572 ",,"2,453,443",,"23,981",24,"244,432","1,819","18,471,631","1,808,923","10,211,397 ",Europe,45501,,,"2,348"
40,Iraq,"2,322,938",+204,"25,197 ",+5,"2,291,660",+585,"6,081",30,"55,534",602,"18,418,937","440,341","41,828,817 ",Asia,"181,6602",5,0.1,145
41,Serbia,"1,994,623",+962,"15,916 ",+3,"1,954,914","+1,776","23,793",24,"229,935","1,835","9,359,560","1,078,948","8,674,709 ",Europe,45451,111,0.3,"2,743"
42,Bangladesh,"1,952,224",+27,"29,124 ",,"1,890,264",+180,"32,836","1,283","11,647",174,"13,916,558","83,029","167,610,776 ",Asia,"865,75512",0.2,,196
43,Hungary,"1,879,480",,"45,865 ",,"1,748,707",,"84,908",50,"195,440","4,769","11,244,573","1,169,279","9,616,675 ",Europe,52101,,,"8,829"
44,Slovakia,"1,762,270","+2,477","19,697 ",+27,"1,696,968","+5,727","45,605",111,"322,503","3,605","7,010,890","1,283,023","5,464,351 ",Europe,32771,453,5,"8,346"
45,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,165","1,353","16,670,254","1,605,459","10,383,484 ",Asia,67391,,,118
46,Georgia,"1,652,707",+235,"16,788 ",+5,"1,633,338",+496,"2,581",,"415,720","4,223","16,670,928","4,193,382","3,975,533 ",Asia,22370,59,1,649
47,Pakistan,"1,526,952",,"30,362 ",,"1,487,144",,"9,446",259,"6,682",133,"27,830,633","121,783","228,526,641 ",Asia,"1507,5278",,,41
48,Ireland,"1,498,834",,"6,932 ",,"1,353,083",,"138,819",57,"297,624","1,376","11,962,495","2,375,401","5,035,990 ",Europe,37260,,,"27,565"
49,Norway,"1,418,814",,"2,783 ",,N/A,N/A,N/A,20,"258,120",506,"11,002,430","2,001,635","5,496,721 ",Europe,"41,9750",,,"241,431"
50,Kazakhstan,"1,305,355",+12,"13,660 ",,"1,290,785",+27,910,24,"68,070",712,"11,575,012","603,601","19,176,582 ",Asia,"151,4042",0.6,,47
51,Hong Kong,"1,196,284",+946,"9,069 ",+67,N/A,N/A,N/A,115,"157,296","1,192","44,972,952","5,913,385","7,605,281 ",Asia,68390,124,9,"154,364"
52,Morocco,"1,164,259",,"16,061 ",,"1,147,499",,699,293,"30,891",426,"11,237,010","298,147","37,689,487 ",Africa,"322,3473",,,19
53,Singapore,"1,152,177",,"1,309 ",,"1,082,412",,"68,456",9,"194,222",221,"23,611,604","3,980,198","5,932,268 ",Asia,"54,5320",,,"11,540"
54,Bulgaria,"1,148,362",,"36,764 ",,"946,789",,"164,809",133,"167,514","5,363","9,732,779","1,419,740","6,855,323 ",Europe,61861,,,"24,041"
55,Croatia,"1,112,491",+668,"15,720 ",+5,"1,091,249","+1,217","5,522",24,"273,999","3,872","4,738,252","1,167,001","4,060,194 ",Europe,42581,165,1,"1,360"
56,Cuba,"1,098,563",,"8,519 ",,"1,087,923",,"2,121",23,"97,095",753,"12,920,253","1,141,940","11,314,306 ",North America,"101,3281",,,187
57,Lebanon,"1,095,099",,"10,353 ",,"1,074,880",,"9,866",186,"161,733","1,529","4,795,578","708,250","6,771,025 ",Asia,66541,,,"1,457"
58,Lithuania,"1,047,563","+1,149","9,004 ",+4,"1,002,464","+2,123","36,095",47,"394,610","3,392","8,171,007","3,077,965","2,654,678 ",Europe,32950,433,2,"13,597"
59,Tunisia,"1,038,668",,"28,509 ",,N/A,N/A,N/A,29,"86,277","2,368","4,547,755","377,758","12,038,806 ",Africa,124223,,,"-1,134.25"
60,Slovenia,"995,515","+1,339","6,555 ",+3,"964,712","+2,411","24,248",29,"478,740","3,152","2,632,408","1,265,917","2,079,447 ",Europe,23171,644,1,"11,661"
61,Nepal,"978,648",+14,"11,951 ",,"966,259",+55,438,,"32,546",397,"5,591,779","185,961","30,069,638 ",Asia,"312,5165",0.5,,15
62,Belarus,"973,206",+758,"6,894 ",+5,"928,536",,"37,776",,"103,052",730,"13,013,839","1,378,032","9,443,789 ",Europe,"101,3701",80,0.5,"4,000"
63,Finland,"949,583",,"3,517 ",,"46,000",,"900,066",29,"170,910",633,"10,591,416","1,906,287","5,556,046 ",Europe,"61,5801",,,"161,998"
64,Bolivia,"903,776",+99,"21,901 ",,"851,262",+573,"30,613",220,"75,589","1,832","2,688,875","224,888","11,956,500 ",South America,135464,8,,"2,560"
65,Uruguay,"895,240",,"7,190 ",,"885,068",,"2,982",23,"256,137","2,057","6,084,644","1,740,874","3,495,166 ",South America,44861,,,853
